# Electric potential (V)/(m) (d/dx)  
          35           5           0 -0.615028433291579     
          36           5           0 -0.580439701899563     
          37           5           0 -0.520238714589351     
          38           5           0 -0.486055836140581     
          39           5           0 -0.498188985773966     
          40           5           0 -0.549151530781366     
          41           5           0 -0.600833832634279     
          42           5           0 -0.681400116110048     
          43           5           0 -0.725850073248285     
          44           5           0 -0.741838785996760     
          45           5           0 -0.707480724603677     
          46           5           0 -0.686278901134080     
          47           5           0 -0.625951982925823     
          48           5           0 -0.460676989457620     
          49           5           0 -0.317430385266698     
          50           5           0 -0.130977610471176     
          51           5           0  5.367702067027517E-002
          52           5           0  0.151463293740606     
          53           5           0  0.145448183392524     
          54           5           0  0.107025037226659     
          55           5           0  9.043007500005795E-002
          56           5           0  8.747934353876351E-002
          57           5           0  4.692940750651847E-002
          58           5           0 -1.843935029330380E-002
          59           5           0  1.513862258178419E-002
          60           5           0  0.176081018177612     
          61           5           0  0.436092317703276     
          62           5           0  0.750798035506574     
          63           5           0   1.01771889002623     
          64           5           0   1.20353749157013     
          65           5           0   1.26982485083225     
          66           5           0   1.30022733346068     
          67           5           0   1.20252701247775     
          68           5           0   1.03796490367062     
          69           5           0   1.01317592246133     
          70           5           0  0.860466684840570     
          71           5           0  0.774706377384311     
          72           5           0   4.43650120923866     
          73           5           0   7.30479745636360     
          74           5           0   10.2215699615694     
          75           5           0   11.3674880280770     
          76           5           0   11.0611647782798     
          77           5           0   9.60588766905141     
          78           5           0   7.28693212615946     
          79           5           0   4.79015591803527     
          80           5           0   2.63073788726926     
          81           5           0  0.749724423598588     
          82           5           0  -1.16294443205611     
          83           5           0  -3.41718446288095     
          84           5           0  -5.88668304766062     
          85           5           0  -8.32223141938062     
          86           5           0  -10.9241271683167     
          87           5           0  -13.8751885988933     
          88           5           0  -17.1970462999531     
          89           5           0  -21.0515051168535     
          90           5           0  -26.9889524785675     
          91           5           0  -36.0406884035761     
          92           5           0  -45.4999884786765     
          93           5           0  -56.9313065357864     
          94           5           0  -81.2820628382543     
          95           5           0  -77.8493574027617     
          96           5           0  -36.7374447059516     
          -1           6           0   44.1651950555812     
           0           6           0   81.6114222726084     
           1           6           0   92.6776462203346     
           2           6           0   77.5506179512925     
           3           6           0   65.2540580576336     
           4           6           0   56.3406557474740     
           5           6           0   48.3661784310102     
           6           6           0   39.2696905663296     
           7           6           0   30.1539141461459     
           8           6           0   23.6923008682114     
           9           6           0   19.1863669456309     
          10           6           0   14.8202402479898     
          11           6           0   10.6818213189857     
          12           6           0   7.35476752438666     
          13           6           0   4.43692286414024     
          14           6           0  0.799097992711767     
          15           6           0  -3.01423447204398     
          16           6           0  -5.67048279361498     
          17           6           0  -7.56461786046423     
          18           6           0  -8.71464330982015     
          19           6           0  -10.6899282190986     
          20           6           0  -12.2100841572196     
          21           6           0  -10.1955705443946     
          22           6           0  -4.52760125597462     
          23           6           0   1.63582323076764     
          24           6           0   1.38302150938354     
          25           6           0   1.59498417227816     
          26           6           0   1.11949257708203     
          27           6           0  0.180241453772027     
          28           6           0 -0.569068555869930     
          29           6           0 -0.913209742603930     
          30           6           0 -0.958616966817781     
          31           6           0  -1.03290526532413     
          32           6           0  -1.09433302784786     
          33           6           0  -1.06467810238634     
          34           6           0 -0.901258286130657     
          35           6           0 -0.809006868219579     
          36           6           0 -0.788276634573136     
          37           6           0 -0.691563733580890     
          38           6           0 -0.638496568341923     
          39           6           0 -0.681121343403320     
          40           6           0 -0.760235964314585     
          41           6           0 -0.841561252302100     
          42           6           0 -0.923064014431236     
          43           6           0 -0.916387381338537     
          44           6           0 -0.912431015518098     
          45           6           0 -0.864944060132707     
          46           6           0 -0.771122223925219     
          47           6           0 -0.655893849423057     
          48           6           0 -0.496235386306873     
          49           6           0 -0.352231174928009     
          50           6           0 -0.134510200632329     
